rank,pool,mode,horizon,strategy,components,threshold,signals,win_rate,average_return,median_return,profit_factor,worst_return,best_return,robust_mean,score,target_89_gap,meets_89
56,CROSS_10D_20D,OR,20,10D:Reversal: 50D Support + Higher Low + 20D:Secondary: Breakdown + 50D Support,2,1,11735,0.6083510864933959,0.021507217097313083,0.0067542761785566174,1.7603700274479128,-0.9834088927637314,6.198935462408517,0.012747534295542895,84.62635785557464,4.373642144425361,False
57,CROSS_10D_20D,OR,20,10D:Secondary: Breakdown + 50D Support + 20D:Reversal: 50D Support + Higher Low,2,1,11735,0.6083510864933959,0.021507217097313083,0.0067542761785566174,1.7603700274479128,-0.9834088927637314,6.198935462408517,0.012747534295542895,84.62635785557464,4.373642144425361,False
58,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Bull Engulf + Reversal: 50D Support + Higher Low,2,1,10290,0.6173955296404277,0.020774378207867643,0.006616257088846833,1.8405122594603975,-0.9030172413793103,6.198935462408517,0.012861371957399224,84.60822178468453,4.391778215315469,False
59,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Bull Engulf + Reversal: 50D Support + Higher Low + Reversal: 50D Support + RSI + Higher Low,3,1,10290,0.6173955296404277,0.020774378207867643,0.006616257088846833,1.8405122594603975,-0.9030172413793103,6.198935462408517,0.012861371957399224,84.60822178468453,4.391778215315469,False
60,CROSS_10D_20D,OR,20,10D:Reversal: 50D Support + Bull Engulf + 20D:Reversal: 50D Support + Higher Low,2,1,10290,0.6173955296404277,0.020774378207867643,0.006616257088846833,1.8405122594603975,-0.9030172413793103,6.198935462408517,0.012861371957399224,84.60822178468453,4.391778215315469,False
61,CROSS_10D_20D,OR,20,10D:Reversal: 50D Support + Higher Low + 20D:Reversal: 50D Support + Bull Engulf,2,1,10290,0.6173955296404277,0.020774378207867643,0.006616257088846833,1.8405122594603975,-0.9030172413793103,6.198935462408517,0.012861371957399224,84.60822178468453,4.391778215315469,False
62,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Bull Engulf + Reversal: Bottom Reclaim + Support + Secondary: Breakdown + 50D Support + Reversal: 50D Support + RSI + Higher Low,4,1,7252,0.5740485383342526,0.03081387276770459,0.012828952921118963,1.5561165246195825,-0.9994049504950495,7.915789473684212,0.01238562688556938,84.58569124405837,4.414308755941633,False
63,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Bull Engulf + Reversal: Bull Engulf + Support + Reversal: 50D Support + RSI + Higher Low,3,1,2006,0.590727816550349,0.027406963762013525,0.007885660304358,1.7566360609061342,-0.9030172413793103,6.198935462408517,0.013602541189366093,84.57078721201789,4.4292127879821095,False
64,WINNERS_20D,AND,20,Reversal: 50D Support + Higher Low,1,1,9954,0.6181434599156118,0.020593900686888725,0.006555598133418328,1.8587188020585457,-0.9030172413793103,6.198935462408517,0.012847370764225388,84.55222667323278,4.447773326767219,False
65,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Higher Low + Reversal: 50D Support + RSI + Higher Low,2,1,9954,0.6181434599156118,0.020593900686888725,0.006555598133418328,1.8587188020585457,-0.9030172413793103,6.198935462408517,0.012847370764225388,84.55222667323278,4.447773326767219,False
66,CROSS_10D_20D,OR,20,10D:Reversal: 50D Support + Higher Low + 20D:Reversal: 50D Support + RSI + Higher Low,2,1,9954,0.6181434599156118,0.020593900686888725,0.006555598133418328,1.8587188020585457,-0.9030172413793103,6.198935462408517,0.012847370764225388,84.55222667323278,4.447773326767219,False
67,CROSS_10D_20D,OR,20,10D:Reversal: 50D Support + RSI + Higher Low + 20D:Reversal: 50D Support + Higher Low,2,1,9954,0.6181434599156118,0.020593900686888725,0.006555598133418328,1.8587188020585457,-0.9030172413793103,6.198935462408517,0.012847370764225388,84.55222667323278,4.447773326767219,False
68,WINNERS_20D,AND,20,Reversal: Bottom Reclaim + Support,1,1,4402,0.5697410268059973,0.03418086279000755,0.015229933564747555,1.5409426957745374,-0.9994049504950495,7.915789473684212,0.010895709858225994,84.55107036822969,4.448929631770312,False
69,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Higher Low + Secondary: Breakdown + 50D Support + Reversal: Bull Engulf + Support,3,1,12392,0.6048256939961265,0.021092727605854327,0.006574468563824598,1.7430319152355325,-0.9834088927637314,6.198935462408517,0.012370522873655657,84.20874357811017,4.791256421889827,False
70,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Higher Low + Secondary: Breakdown + 50D Support + Reversal: Bull Engulf + Support + Reversal: 50D Support + RSI + Higher Low,4,1,12392,0.6048256939961265,0.021092727605854327,0.006574468563824598,1.7430319152355325,-0.9834088927637314,6.198935462408517,0.012370522873655657,84.20874357811017,4.791256421889827,False
71,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Bull Engulf + Reversal: 50D Support + Higher Low + Secondary: Breakdown + 50D Support + Reversal: Bull Engulf + Support,4,1,12545,0.6037465125548027,0.021094024165961026,0.006577736890524433,1.7319937169106483,-0.9834088927637314,6.198935462408517,0.012285510098583315,84.14743524183082,4.85256475816918,False
72,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Higher Low + Reversal: Bull Engulf + Support,2,1,10611,0.6134200358118933,0.020166391036854976,0.006387225548902142,1.8275806429638182,-0.9030172413793103,6.198935462408517,0.012366244504073054,84.06510253973141,4.934897460268587,False
73,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Higher Low + Reversal: Bull Engulf + Support + Reversal: 50D Support + RSI + Higher Low,3,1,10611,0.6134200358118933,0.020166391036854976,0.006387225548902142,1.8275806429638182,-0.9030172413793103,6.198935462408517,0.012366244504073054,84.06510253973141,4.934897460268587,False
74,CROSS_10D_20D,OR,20,10D:Reversal: 50D Support + Higher Low + 20D:Reversal: Bull Engulf + Support,2,1,10611,0.6134200358118933,0.020166391036854976,0.006387225548902142,1.8275806429638182,-0.9030172413793103,6.198935462408517,0.012366244504073054,84.06510253973141,4.934897460268587,False
75,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Bull Engulf + Reversal: 50D Support + Higher Low + Reversal: Bull Engulf + Support,3,1,10764,0.6120401337792643,0.020181069115784316,0.006395124014658915,1.8096398348406566,-0.9030172413793103,6.198935462408517,0.012281743409330912,84.00765056799237,4.992349432007629,False
76,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Bull Engulf + Reversal: 50D Support + Higher Low + Reversal: Bull Engulf + Support + Reversal: 50D Support + RSI + Higher Low,4,1,10764,0.6120401337792643,0.020181069115784316,0.006395124014658915,1.8096398348406566,-0.9030172413793103,6.198935462408517,0.012281743409330912,84.00765056799237,4.992349432007629,False
77,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Bull Engulf + Reversal: Bottom Reclaim + Support,2,1,5225,0.576267942583732,0.03226483332266056,0.012593283582089443,1.5651435431786962,-0.9994049504950495,7.915789473684212,0.011298914542976128,83.96380569108786,5.036194308912144,False
78,CROSS_10D_20D,OR,20,10D:Reversal: 50D Support + Bull Engulf + 20D:Reversal: Bottom Reclaim + Support,2,1,5225,0.576267942583732,0.03226483332266056,0.012593283582089443,1.5651435431786962,-0.9994049504950495,7.915789473684212,0.011298914542976128,83.96380569108786,5.036194308912144,False
79,CROSS_10D_20D,OR,20,10D:Reversal: Bottom Reclaim + Support + 20D:Reversal: 50D Support + Bull Engulf,2,1,5225,0.576267942583732,0.03226483332266056,0.012593283582089443,1.5651435431786962,-0.9994049504950495,7.915789473684212,0.011298914542976128,83.96380569108786,5.036194308912144,False
80,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Higher Low + Reversal: 50D Support + Volume + Reversal: 50D Support + Hammer + Reversal: 50D Support + RSI + Higher Low,4,2,2360,0.6016949152542372,0.025282897028011137,0.005763694079433002,1.865869643273206,-0.9030172413793103,6.198935462408517,0.012750384046891201,83.88555859474315,5.114441405256855,False
81,WINNERS_20D,AND,20,Reversal: 50D Support + Higher Low + Reversal: 50D Support + Volume,2,2,1114,0.6023339317773788,0.019709689790609494,0.004483420005819139,1.9610175404584673,-0.9030172413793103,0.72,0.014350696852330428,83.83527743422168,5.16472256577832,False
82,CROSS_10D_20D,AND,20,10D:Reversal: 50D Support + Higher Low + 20D:Reversal: 50D Support + Volume,2,2,1114,0.6023339317773788,0.019709689790609494,0.004483420005819139,1.9610175404584673,-0.9030172413793103,0.72,0.014350696852330428,83.83527743422168,5.16472256577832,False
83,CROSS_10D_20D,AND,20,10D:Reversal: 50D Support + Volume + 20D:Reversal: 50D Support + Higher Low,2,2,1114,0.6023339317773788,0.019709689790609494,0.004483420005819139,1.9610175404584673,-0.9030172413793103,0.72,0.014350696852330428,83.83527743422168,5.16472256577832,False
84,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Bull Engulf + Reversal: Bottom Reclaim + Support + Reversal: 50D Support + Volume + Reversal: 50D Support + RSI + Higher Low,4,2,1280,0.5765625,0.02843732911304726,0.015175221096800806,1.468273431065443,-0.9846058534501175,6.198935462408517,0.008840478880152198,83.57674883380547,5.423251166194532,False
85,WINNERS_20D,CONSENSUS,20,Reversal: Bottom Reclaim + Support + Secondary: Breakdown + 50D Support,2,1,6183,0.5650978489406437,0.032000592463414516,0.013912310286678053,1.5327967480639368,-0.9994049504950495,7.915789473684212,0.011838653426468584,83.49619760830059,5.503802391699409,False
86,CROSS_10D_20D,OR,20,10D:Secondary: Breakdown + 50D Support + 20D:Reversal: Bottom Reclaim + Support,2,1,6183,0.5650978489406437,0.032000592463414516,0.013912310286678053,1.5327967480639368,-0.9994049504950495,7.915789473684212,0.011838653426468584,83.49619760830059,5.503802391699409,False
