rule,horizon_days,signals,win_rate,loss_rate,average_return,median_return,p10_return,p25_return,p75_return,p90_return,best_return,worst_return,std_return,average_ex_top_1pct,top_1pct_profit_contribution,profit_factor,robustness_score
Reversal: 50D Support + RSI + Higher Low,3,636,0.5172955974842768,0.4638364779874214,0.0166422843136935,0.0012236046666586,-0.076756221719457,-0.0291051467103939,0.0336386849160572,0.0790887184970587,5.956521739130435,-0.5222222222222223,0.2601711487416893,0.0008096342793841,0.3830760544612142,1.67355965152922,27.63520515343859
Reversal: 50D Support + RSI + Higher Low,5,636,0.5518867924528302,0.4355345911949685,0.0259478848654498,0.0058653992976027,-0.1007381756756757,-0.0344986449864498,0.0465016057312769,0.1251069876155004,5.360612109115104,-0.6412820512820513,0.3051350062475802,0.0047592548191234,0.3742613308538626,1.842830124408113,37.39400153447847
Reversal: 50D Support + RSI + Higher Low,10,609,0.5845648604269293,0.4088669950738916,0.0543605727114704,0.0161290322580645,-0.122596371882086,-0.0370407473265045,0.0859188544152744,0.1957132099008904,9.459081836327346,-0.7861538461538462,0.5020524294057502,0.0196774870291315,0.3710847766774484,2.371844184349395,56.73040097942102
Reversal: 50D Support + RSI + Higher Low,20,545,0.6458715596330276,0.3504587155963303,0.0544262811995466,0.0325443786982249,-0.2049169614964041,-0.0508720930232557,0.1335578002244668,0.2459804847340261,6.198935462408517,-0.9030172413793104,0.4266711768547301,0.0259669982980457,0.257862852335644,1.9571383628712296,54.50000000000001
Reversal: 50D Support + Hammer,1,2951,0.4317180616740088,0.4191799390037276,0.0007048261592303,0.0,-0.0215231788079469,-0.003917731476152,0.0039904676871601,0.0205128205128204,0.7857142857142858,-0.4015233949945593,0.0369000297947638,-0.0014500733481608,0.2691836238960501,1.097250267823797,21.945005356475946
Reversal: 50D Support + Hammer,3,2886,0.4982674982674983,0.437976437976438,0.0049522337558843,0.0,-0.0376461967294852,-0.0062591731898238,0.0077860344644233,0.0446271600434121,1.946428571428572,-0.4492753623188406,0.0865532404878622,-0.0007434880730255,0.3186752664364289,1.3839460974693294,35.723504993969634
Reversal: 50D Support + Hammer,5,2813,0.526128688233203,0.422680412371134,0.0067259270080776,0.0008006405124099,-0.0540045016761195,-0.0079365079365079,0.0108932461873638,0.065911717102808,3.113060428849902,-0.955532786885246,0.1144010977872217,-0.0002794194429659,0.286802414907685,1.3802093099459198,41.09294141686215
Reversal: 50D Support + Hammer,10,2652,0.5731523378582202,0.3963046757164404,0.0142096755831017,0.0019323671497584,-0.0794849282996781,-0.0107028940886699,0.0195440992618124,0.0912975923473936,6.290448343079922,-0.7945071113290829,0.2133336217314378,0.0010002787860843,0.3370749645727979,1.5682114770219715,53.7081052754005
Reversal: 50D Support + Hammer,20,2256,0.598404255319149,0.3834219858156028,0.0177209732627091,0.0034748078586371,-0.1125594253549597,-0.013896685637689,0.0281510262968062,0.1327723309807428,7.915789473684212,-0.921132075471698,0.2845361811492612,-0.000211526599118,0.3270521030804156,1.477610081283811,57.7610520375049
Reversal: 50D Support + Bull Engulf,1,1335,0.4352059925093633,0.4711610486891385,-0.0004746194350027,0.0,-0.0211587983982393,-0.0071427360257437,0.0054983400447801,0.016884570165871,0.2896039603960396,-0.1425,0.0220016940100452,-0.0016181006069603,0.1931403866901719,0.9248247171619964,18.49649434323993
